Date,Ticker,Name,Sector,Industry,Country,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend %,Employees,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20,EPS (ttm),SMA50,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,SMA200,Price,ESG Totalesg,ESG Environmentscore,ESG Socialscore,ESG Governancescore,ESG Highestcontroversy,ESG Percentile
2021.08.01,CCM,Concord Medical Services Holdings Limited,Healthcare,Medical Care Facilities,China,128110000.00000001,-45800000,28200000,-1.28,2.18,NA,NA,738,NA,NA,NA,4.54,NA,1.36,NA,1.2,1.2,NA,NA,0.0771,-1.05,0.0018,-0.063,-8.5,-0.266,-0.123,NA,NA,-0.0391,2.98,NA,NA,NA,NA,NA,NA
2021.08.01,CCMP,"CMC Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA,4190000000.0000005,-46900000,1130000000,32.83,11.2,1.84,0.0127,2082,NA,17.63,NA,3.72,4.41,12.91,26.38,2.7,3.5,0.96,0.95,0.0087,-1.64,-0.0245,-0.02,-0.045,0.093,0.431,-0.004,-0.042,-0.0903,144.64,NA,NA,NA,NA,NA,NA
2021.08.01,CCNC,Code Chain New Continent Limited,Basic Materials,Coking Coal,China,64310000,-19600000,10100000,1,0.66,NA,NA,54,NA,NA,NA,6.37,1.85,2.81,NA,NA,5.7,0,0,-0.0237,-0.62,-0.1902,-0.797,-0.94,-0.214,0.427,NA,NA,-0.3518,1.85,NA,NA,NA,NA,NA,NA
2021.08.01,CCNE,CNB Financial Corporation,Financial,Banks - Regional,USA,395480000,31500000,167200000,21.42,39.69,0.68,0.0295,601,11.65,7.54,NA,2.37,1.08,0.58,32.42,NA,NA,0.2,0.2,-0.0028,1.98,-0.0207,0.007,0.09,0.264,NA,0.723,0.188,0.0154,23.06,NA,NA,NA,NA,NA,NA
2021.08.01,CCO,"Clear Channel Outdoor Holdings, Inc.",Communication Services,Advertising Agencies,USA,1260000000,-637600000,1670000000,-6.74,1.36,NA,NA,4800,NA,NA,NA,0.75,NA,1.96,NA,1.1,1.1,NA,NA,0.0769,-1.37,0.048,-0.104,0.206,-0.086,0.328,-0.178,-0.348,0.3718,2.66,NA,NA,NA,NA,NA,NA
2021.08.01,CCOI,"Cogent Communications Holdings, Inc.",Communication Services,Telecom Services,USA,3630000000,15900000,574000000,-6.68,5.09,3.12,0.0402,1083,228.94,64.03,NA,6.32,NA,15.24,NA,0.7,0.7,NA,NA,0.0134,0.34,0.015,0.016,-0.058,0.127,0.616,0.179,0.028,0.1736,77.61,NA,NA,NA,NA,NA,NA
2021.08.01,CCRN,"Cross Country Healthcare, Inc.",Industrials,Staffing & Employment Services,USA,616240000,8600000,955600000,4.79,0.36,NA,NA,1450,73.3,24.77,6.6,0.64,3.43,45.65,NA,2.2,2.2,0.55,0.55,0.0416,0.22,0.0049,0.023,0.055,-0.043,0.235,0.013,0.009,0.3737,16.42,NA,NA,NA,NA,NA,NA
2021.08.01,CCS,"Century Communities, Inc.",Consumer Cyclical,Residential Construction,USA,2300000000,361100000,3830000000,40.91,15.16,0.6,0.0086,1403,6.51,4.84,0.72,0.6,1.7,4.58,6.94,NA,NA,0.86,0.65,0.1115,10.67,0.0212,0.075,0.166,0.108,0.238,0.085,0.054,0.2102,69.45,NA,NA,NA,NA,NA,NA
2021.08.01,CCU,Compania Cervecerias Unidas S.A.,Consumer Defensive,Beverages - Brewers,Chile,3920000000,168900000,2520000000,9.32,3.44,0.55,0.0259,8941,23.26,21.58,12.92,1.56,2.28,6.18,25.57,1.4,1.8,0.39,0.34,0.0321,0.91,0.0998,0.051,0.098,0.078,0.474,0.107,0.067,0.2477,21.26,NA,NA,NA,NA,NA,NA
2021.08.01,CCV,Churchill Capital Corp V,Financial,Shell Companies,USA,1120000000,NA,NA,7.21,0.01,NA,NA,NA,NA,NA,NA,NA,1.37,1868.55,NA,9.2,9.2,0,0,-0.0148,NA,-0.0158,NA,NA,NA,NA,NA,NA,-0.0386,9.85,NA,NA,NA,NA,NA,NA
