Date,Ticker,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20,EPS (ttm),EPS next Y...33,EPS next Q,EPS this Y,EPS next Y...36,EPS next 5Y,EPS past 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Beta,ATR,Prev Close,Price,Change,ESG Totalesg,ESG Environmentscore,ESG Socialscore,ESG Governancescore,ESG Highestcontroversy,ESG Percentile,P/E_diff,Forward P/E_diff,PEG_diff,P/S_diff,P/B_diff,P/C_diff,P/FCF_diff,Quick Ratio_diff,Current Ratio_diff,Debt/Eq_diff,LT Debt/Eq_diff,SMA20_diff,EPS (ttm)_diff,EPS next Y...33_diff,EPS next Q_diff,EPS this Y_diff,EPS next Y...36_diff,EPS next 5Y_diff,EPS past 5Y_diff,Sales past 5Y_diff,Sales Q/Q_diff,EPS Q/Q_diff,Beta_diff,ATR_diff,Prev Close_diff,Price_diff,Change_diff,ESG Totalesg_diff,ESG Environmentscore_diff,ESG Socialscore_diff,ESG Governancescore_diff,ESG Highestcontroversy_diff,ESG Percentile_diff
2021.08.19-S/0,AAPL,28.73,25.88,1.47,6.98,37.91,39.25,30.11,1,1.1,1.89,1.65,-0.0033,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.82,146.36,146.7,0.0023,16.92,0.29,7.69,8.94,3,12.58,-0.46999999999999886,-0.4299999999999997,-0.020000000000000018,-0.15999999999999925,-0.6200000000000045,-0.9500000000000028,-0.7300000000000004,0,0,0,0,-0.0219,0,0,0,0,0,0,0,0,0,0,0,0.3899999999999997,-2.5299999999999727,-2.4000000000000057,9e-4,0,0,0,0,0,0
2021.08.20-S/0,AAPL,29.02,26.15,1.48,7.05,38.29,39.65,30.41,1,1.1,1.89,1.65,0.0068,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.68,146.7,148.19,0.0102,16.92,0.29,7.69,8.94,3,12.58,-0.17999999999999972,-0.16000000000000014,-0.010000000000000009,-0.040000000000000036,-0.240000000000002,-0.240000000000002,-0.19000000000000128,0,0,0,0,-0.011799999999999998,0,0,0,0,0,0,0,0,0,0,0,0.25,-2.1899999999999977,-0.9099999999999966,0.0088,0,0,0,0,0,0
2021.08.21-S/0,AAPL,29.02,26.15,1.48,7.05,38.29,39.65,30.41,1,1.1,1.89,1.65,0.0068,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.68,146.7,148.19,0.0102,16.92,0.29,7.69,8.94,3,12.58,-0.17999999999999972,-0.16000000000000014,-0.010000000000000009,-0.040000000000000036,-0.240000000000002,-0.240000000000002,-0.19000000000000128,0,0,0,0,-0.001400000000000001,0,0,0,0,0,0,0,0,0,0,0,0.25,-2.4000000000000057,0.47999999999998977,0.0195,0,0,0,0,0,0
2021.08.22-S/0,AAPL,29.02,26.15,1.48,6.99,38.29,39.31,30.15,1,1.1,1.89,1.65,0.0068,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.68,146.7,148.19,0.0102,16.92,0.29,7.69,8.94,3,12.58,-0.5800000000000018,-0.5100000000000016,-0.030000000000000027,-0.20000000000000018,-0.759999999999998,-1.1199999999999974,-0.860000000000003,0,0,0,0,-0.0247,0,0,0,0,0,0,0,0,0,0,0,0.07000000000000028,-2.4000000000000057,-2.930000000000007,-0.003299999999999999,0,0,0,0,0,0
2021.08.23-S/0,AAPL,29.32,26.42,1.5,7.06,38.68,39.71,30.46,1,1.1,1.89,1.65,0.0173,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.68,148.19,149.71,0.0103,16.92,0.29,7.69,8.94,3,12.58,0.6600000000000001,0.6000000000000014,0.040000000000000036,0.09999999999999964,0.8599999999999994,0.5500000000000043,0.4200000000000017,0,0,0,0,0.0226,0,0,0,0,0,0,0,0,0,0,0,-0.06999999999999984,-2,3.3499999999999943,0.0358,0,0,0,0,0,0
2021.08.24-S/0,AAPL,29.3,26.41,1.49,7.05,38.66,39.68,30.44,1,1.1,1.89,1.65,0.0164,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.61,149.71,149.62,-6e-4,16.92,0.29,7.69,8.94,3,12.58,0.5700000000000003,0.5300000000000011,0.020000000000000018,0.0699999999999994,0.75,0.4299999999999997,0.33000000000000185,0,0,0,0,0.019700000000000002,0,0,0,0,0,0,0,0,0,0,0,-0.20999999999999996,3.3499999999999943,2.920000000000016,-0.0029,0,0,0,0,0,0
2021.08.25-S/0,AAPL,29.3,26.41,1.49,7.05,38.66,39.68,30.44,1,1.1,1.89,1.65,0.0033,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.61,149.62,147.84,-0.0119,16.92,0.29,7.69,8.94,3,12.58,0.28000000000000114,0.26000000000000156,0.010000000000000009,0,0.36999999999999744,0.030000000000001137,0.030000000000001137,0,0,0,0,-0.0034999999999999996,0,0,0,0,0,0,0,0,0,0,0,-0.07000000000000028,2.920000000000016,-0.3499999999999943,-0.0221,0,0,0,0,0,0
2021.08.26-S/0,AAPL,29.06,26.18,1.48,6.99,38.34,39.35,30.18,1,1.1,1.89,1.65,0.0069,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.52,149.62,148.36,-0.0084,16.92,0.29,7.69,8.94,3,12.58,0.03999999999999915,0.030000000000001137,0,-0.05999999999999961,0.05000000000000426,-0.29999999999999716,-0.23000000000000043,0,0,0,0,1.0000000000000026e-4,0,0,0,0,0,0,0,0,0,0,0,-0.16000000000000014,2.920000000000016,0.17000000000001592,-0.0186,0,0,0,0,0,0
2021.08.27-S/0,AAPL,29.1,26.23,1.48,7,38.4,39.41,30.23,1,1.1,1.89,1.65,0.0067,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.37,147.54,148.6,0.0072,16.92,0.29,7.69,8.94,3,12.58,0.08000000000000185,0.08000000000000185,0,0.009999999999999787,0.10999999999999943,0.09999999999999432,0.08000000000000185,0,0,0,0,-9.99999999999994e-5,0,0,0,0,0,0,0,0,0,0,0,-0.31000000000000005,0.8400000000000034,0.4099999999999966,-0.003000000000000001,0,0,0,0,0,0
2021.08.28-S/0,AAPL,29.1,26.23,1.48,7,38.4,39.41,30.23,1,1.1,1.89,1.65,0.0067,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.37,147.54,148.6,0.0072,16.92,0.29,7.69,8.94,3,12.58,-0.21999999999999886,-0.19000000000000128,-0.020000000000000018,-0.05999999999999961,-0.28000000000000114,-0.30000000000000426,-0.23000000000000043,0,0,0,0,-0.010599999999999998,0,0,0,0,0,0,0,0,0,0,0,-0.31000000000000005,-0.6500000000000057,-1.1100000000000136,-0.0031000000000000003,0,0,0,0,0,0
2021.08.29-S/0,AAPL,29.1,26.23,1.48,7,38.4,39.41,30.23,1,1.1,1.89,1.65,0.0067,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.37,147.54,148.6,0.0072,16.92,0.29,7.69,8.94,3,12.58,-0.1999999999999993,-0.17999999999999972,-0.010000000000000009,-0.04999999999999982,-0.259999999999998,-0.2700000000000031,-0.21000000000000085,0,0,0,0,-0.0097,0,0,0,0,0,0,0,0,0,0,0,-0.23999999999999977,-2.170000000000016,-1.0200000000000102,0.0078,0,0,0,0,0,0
2021.08.30-S/0,AAPL,29.1,26.23,1.48,7.03,38.4,39.53,30.32,1,1.1,1.89,1.65,0.0067,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.37,147.54,148.6,0.0072,16.92,0.29,7.69,8.94,3,12.58,-0.1999999999999993,-0.17999999999999972,-0.010000000000000009,-0.019999999999999574,-0.259999999999998,-0.14999999999999858,-0.120000000000001,0,0,0,0,0.0034000000000000002,0,0,0,0,0,0,0,0,0,0,0,-0.23999999999999977,-2.0800000000000125,0.7599999999999909,0.0191,0,0,0,0,0,0
2021.08.31-S/0,AAPL,29.74,26.8,1.52,7.18,39.23,40.39,30.98,1,1.1,1.89,1.65,0.025,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.5,153.12,151.83,-0.0084,16.92,0.29,7.69,8.94,3,12.58,0.6799999999999997,0.620000000000001,0.040000000000000036,0.1899999999999995,0.8899999999999935,1.0399999999999991,0.8000000000000007,0,0,0,0,0.0181,0,0,0,0,0,0,0,0,0,0,0,-0.020000000000000018,3.5,3.469999999999999,0,0,0,0,0,0,0
