Date,Ticker,Sector,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20,EPS (ttm),EPS next Y...17,EPS next Q,EPS this Y,EPS next Y...20,EPS next 5Y,EPS past 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Beta,ATR,Prev Close,Price,Change,ESG Totalesg,ESG Environmentscore,ESG Socialscore,ESG Governancescore,ESG Highestcontroversy,ESG Percentile,P/E_diff,Forward P/E_diff,PEG_diff,P/S_diff,P/B_diff,P/C_diff,P/FCF_diff,Quick Ratio_diff,Current Ratio_diff,Debt/Eq_diff,LT Debt/Eq_diff,SMA20_diff,EPS (ttm)_diff,EPS next Y...17_diff,EPS next Q_diff,EPS this Y_diff,EPS next Y...20_diff,EPS next 5Y_diff,EPS past 5Y_diff,Sales past 5Y_diff,Sales Q/Q_diff,EPS Q/Q_diff,Beta_diff,ATR_diff,Prev Close_diff,Price_diff,Change_diff,ESG Totalesg_diff,ESG Environmentscore_diff,ESG Socialscore_diff,ESG Governancescore_diff,ESG Highestcontroversy_diff
2021.08.01,A,Healthcare,51.33,33.15,4.75,7.96,9.69,33.57,45.24,1.5,2,0.61,0.57,0.0243,2.98,4.62,0.99,-0.316,0.1162,0.108,0.12,0.057,0.232,1.173,1,1.87,152.67,153.23,0.0037,16.57,0.87,9.44,6.26,2,11.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021.08.01,A,Healthcare,51.33,33.15,4.75,7.96,9.69,33.57,45.24,1.5,2,0.61,0.57,0.0243,2.98,4.62,0.99,-0.316,0.1162,0.108,0.12,0.057,0.232,1.173,1,1.87,152.67,153.23,0.0037,16.57,0.87,9.44,6.26,2,11.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021.08.02,A,Healthcare,51.33,33.15,4.75,7.96,9.69,33.57,45.24,1.5,2,0.61,0.57,0.0213,2.98,4.62,0.99,-0.316,0.1162,0.108,0.12,0.057,0.232,1.173,1,1.87,153.23,153.07,-0.001,16.57,0.87,9.44,6.26,2,11.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021.08.04,A,Healthcare,51.54,33.29,4.77,8,9.73,33.71,45.43,1.5,2,0.61,0.57,0.0252,2.98,4.62,0.99,-0.316,0.1162,0.108,0.12,0.057,0.232,1.173,1,1.81,153.07,153.86,0.0052,16.57,0.87,9.44,6.26,2,11.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021.08.05,A,Healthcare,51.68,33.38,4.79,8.02,9.75,33.8,45.55,1.5,2,0.61,0.57,0.0262,2.98,4.62,0.99,-0.316,0.1162,0.108,0.12,0.057,0.232,1.173,1,1.76,153.86,154.27,0.0027,16.57,0.87,9.44,6.26,2,11.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021.08.06,A,Healthcare,52.16,33.69,4.83,8.09,9.84,34.11,45.97,1.5,2,0.61,0.57,0.032,2.98,4.62,0.99,-0.316,0.1162,0.108,0.12,0.057,0.232,1.173,1,1.74,155.04,155.7,0.0043,16.57,0.87,9.44,6.26,2,11.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021.08.07,A,Healthcare,52.16,33.69,4.83,8.09,9.84,34.11,45.97,1.5,2,0.61,0.57,0.032,2.98,4.62,0.99,-0.316,0.1162,0.108,0.12,0.057,0.232,1.173,1,1.74,155.04,155.7,0.0043,16.57,0.87,9.44,6.26,2,11.74,0.8299999999999983,0.5399999999999991,0.08000000000000007,0.1299999999999999,0.15000000000000036,0.5399999999999991,0.7299999999999969,0,0,0,0,0.007700000000000002,0,0,0,0,0,0,0,0,0,0,0,-0.13000000000000012,2.3700000000000045,2.469999999999999,5.999999999999998e-4,0,0,0,0,0
2021.08.08,A,Healthcare,52.16,33.69,4.83,8.09,9.84,34.09,45.94,1.5,2,0.61,0.57,0.032,2.98,4.62,0.99,-0.316,0.1162,0.108,0.12,0.057,0.232,1.173,0.99,1.74,155.04,155.7,0.0043,16.57,0.87,9.44,6.26,2,11.74,0.8299999999999983,0.5399999999999991,0.08000000000000007,0.1299999999999999,0.15000000000000036,0.5200000000000031,0.6999999999999957,0,0,0,0,0.010700000000000001,0,0,0,0,0,0,0,0,0,0,-0.010000000000000009,-0.13000000000000012,1.8100000000000023,2.6299999999999955,0.0053,0,0,0,0,0
2021.08.10,A,Healthcare,52.44,33.87,4.86,8.13,9.9,34.28,46.19,1.5,2,0.61,0.57,0.033,2.98,4.62,0.99,-0.316,0.1162,0.108,0.12,0.057,0.232,1.173,0.99,1.75,156.54,156.52,-1e-4,16.57,0.87,9.44,6.26,2,11.74,0.8999999999999986,0.5799999999999983,0.09000000000000075,0.13000000000000078,0.16999999999999993,0.5700000000000003,0.759999999999998,0,0,0,0,0.007800000000000001,0,0,0,0,0,0,0,0,0,0,-0.010000000000000009,-0.06000000000000005,3.469999999999999,2.6599999999999966,-0.0053,0,0,0,0,0
2021.08.11,A,Healthcare,52.44,33.86,4.86,8.13,9.89,34.27,46.19,1.5,2,0.61,0.57,0.0279,2.98,4.62,0.99,-0.316,0.1162,0.108,0.12,0.057,0.232,1.173,0.99,1.73,156.52,156.11,-0.0026,16.57,0.87,9.44,6.26,2,11.74,0.759999999999998,0.4799999999999969,0.07000000000000028,0.11000000000000121,0.14000000000000057,0.47000000000000597,0.6400000000000006,0,0,0,0,0.0017000000000000001,0,0,0,0,0,0,0,0,0,0,-0.010000000000000009,-0.030000000000000027,2.6599999999999966,1.8400000000000034,-0.0053,0,0,0,0,0
